image,method,mask_pixels,fallback_reason
IMG_3547.JPEG,classical,60005,
IMG_3552.JPEG,classical,52773,
IMG_3555.JPEG,classical,55114,
IMG_3557.JPEG,classical,60870,
IMG_3558.JPEG,classical,62944,
IMG_3561.JPEG,classical,61107,
IMG_3562.JPEG,classical,52928,
IMG_3565.JPEG,classical,50608,
IMG_3567.JPEG,classical,49429,
IMG_3570.JPEG,classical,52014,
IMG_3571.JPEG,classical,53004,
IMG_3574.JPEG,classical,50098,
IMG_3576.JPEG,classical,54069,
IMG_3577.JPEG,classical,53189,
IMG_3580.JPEG,classical,53737,
IMG_3582.JPEG,classical,55398,
IMG_3584.JPEG,classical,57072,
IMG_3587.JPEG,classical,50019,
IMG_3590.JPEG,classical,50197,
IMG_3592.JPEG,classical,53525,
IMG_3594.JPEG,classical,51935,
IMG_3596.JPEG,classical,49244,
IMG_3599.JPEG,classical,54661,
IMG_3600.JPEG,classical,52401,
IMG_3603.JPEG,classical,52885,
IMG_3604.JPEG,classical,55094,
IMG_3605.JPEG,classical,54777,
IMG_3606.JPEG,classical,51551,
IMG_3608.JPEG,classical,52174,
IMG_3610.JPEG,classical,51739,
IMG_3613.JPEG,classical,50139,
IMG_3615.JPEG,classical,50522,
IMG_3616.JPEG,classical,50829,
IMG_3618.JPEG,classical,51664,
IMG_3620.JPEG,classical,50368,
IMG_3634.JPEG,classical,54648,
IMG_3636.JPEG,classical,51867,
IMG_3638.JPEG,classical,53890,
IMG_3639.JPEG,classical,53036,
IMG_3640.JPEG,classical,52443,
IMG_3641.JPEG,classical,55792,
IMG_3646.JPEG,classical,57737,
IMG_3648.JPEG,classical,56490,
IMG_3650.JPEG,classical,55997,
IMG_3652.JPEG,classical,56637,
IMG_3654.JPEG,classical,58279,
IMG_3670.JPEG,classical,62590,
IMG_3672.JPEG,classical,60432,
IMG_3674.JPEG,classical,61489,
IMG_3675.JPEG,classical,63222,
IMG_3676.JPEG,classical,65306,
IMG_3677.JPEG,classical,60159,
IMG_3698.JPEG,classical,53620,
IMG_3700.JPEG,classical,52104,
IMG_3701.JPEG,classical,48286,
IMG_3704.JPEG,classical,49124,
IMG_3706.JPEG,classical,57996,
IMG_3708.JPEG,classical,49470,
IMG_3711.JPEG,classical,66243,
IMG_3713.JPEG,classical,68611,
IMG_3715.JPEG,classical,65467,
IMG_3717.JPEG,classical,66470,
IMG_3718.JPEG,classical,66037,
IMG_3720.JPEG,classical,66556,
IMG_3724.JPEG,classical,59788,
IMG_3726.JPEG,classical,55688,
IMG_3727.JPEG,classical,58673,
IMG_3729.JPEG,classical,56160,
IMG_3732.JPEG,classical,62285,
IMG_3733.JPEG,classical,56979,
IMG_3736.JPEG,classical,50093,
IMG_3738.JPEG,classical,47900,
IMG_3739.JPEG,classical,51564,
IMG_3741.JPEG,classical,51968,
IMG_3744.JPEG,classical,48140,
IMG_3747.JPEG,classical,50139,
IMG_3749.JPEG,classical,49471,
IMG_3750.JPEG,classical,47213,
IMG_3752.JPEG,classical,49938,
IMG_3754.JPEG,classical,47870,
IMG_3799.JPEG,classical,59655,
IMG_3802.JPEG,classical,59045,
IMG_3804.JPEG,classical,59699,
IMG_3805.JPEG,classical,61439,
IMG_3807.JPEG,classical,61394,
IMG_3809.JPEG,classical,59041,
IMG_3813.JPEG,classical,59281,
IMG_3814.JPEG,classical,58476,
IMG_3817.JPEG,classical,57406,
IMG_3818.JPEG,classical,57213,
IMG_3821.JPEG,classical,57853,
IMG_3822.JPEG,classical,57113,
IMG_3825.JPEG,classical,59027,
IMG_3827.JPEG,classical,56353,
IMG_3831.JPEG,classical,56214,
IMG_3833.JPEG,classical,55591,
IMG_3835.JPEG,classical,56187,
IMG_3836.JPEG,classical,55820,
IMG_3837.JPEG,classical,56856,
IMG_3839.JPEG,classical,55835,
IMG_3880.JPEG,classical,52867,
IMG_3882.JPEG,classical,51447,
IMG_3884.JPEG,classical,51101,
IMG_3886.JPEG,classical,51210,
IMG_3887.JPEG,classical,51889,
IMG_3888.JPEG,classical,51528,
IMG_3889.JPEG,classical,50150,
IMG_3891.JPEG,classical,49470,
IMG_3893.JPEG,classical,50627,
IMG_3897.JPEG,classical,57836,
IMG_3899.JPEG,classical,57664,
IMG_3900.JPEG,classical,57008,
IMG_3902.JPEG,classical,57373,
IMG_3905.JPEG,classical,57166,
IMG_3906.JPEG,classical,57913,
IMG_3909.JPEG,classical,58176,
IMG_3925.JPEG,classical,59900,
IMG_3928.JPEG,classical,59081,
IMG_3929.JPEG,classical,60868,
IMG_3930.JPEG,classical,59747,
IMG_3932.JPEG,classical,57919,
IMG_3934.JPEG,classical,59851,
IMG_3935.JPEG,classical,59159,
IMG_3951.JPEG,classical,60490,
IMG_3953.JPEG,classical,58604,
IMG_3955.JPEG,classical,59650,
IMG_3957.JPEG,classical,60728,
IMG_3959.JPEG,classical,62701,
IMG_3960.JPEG,classical,58730,
IMG_3963.JPEG,classical,63428,
IMG_3964.JPEG,classical,61607,
IMG_3965.JPEG,classical,61510,
IMG_3967.JPEG,classical,61095,
IMG_3968.JPEG,classical,62141,
IMG_3969.JPEG,classical,60547,
IMG_3970.JPEG,classical,62363,
IMG_3989.JPEG,classical,58021,
IMG_3991.JPEG,classical,56739,
IMG_3993.JPEG,classical,56810,
IMG_3994.JPEG,classical,57138,
IMG_3995.JPEG,classical,58337,
IMG_3997.JPEG,classical,58293,
IMG_3999.JPEG,classical,68299,
IMG_4003.JPEG,classical,68201,
IMG_4005.JPEG,classical,67936,
IMG_4006.JPEG,classical,67702,
IMG_4008.JPEG,classical,68101,
IMG_4009.JPEG,classical,68985,
IMG_4010.JPEG,classical,69469,
IMG_4011.JPEG,classical,69284,
IMG_4047.JPEG,classical,57042,
IMG_4048.JPEG,classical,55678,
IMG_4049.JPEG,classical,54887,
IMG_4050.JPEG,classical,60897,
IMG_4051.JPEG,classical,60280,
IMG_4052.JPEG,classical,58349,
IMG_4053.JPEG,classical,58535,
IMG_4054.JPEG,classical,55464,
IMG_4057.JPEG,classical,58638,
IMG_4058.JPEG,classical,59576,
IMG_4061.JPEG,classical,61159,
IMG_4062.JPEG,classical,60665,
IMG_4063.JPEG,classical,56770,
IMG_4077.JPEG,classical,55567,
IMG_4078.JPEG,classical,56356,
IMG_4079.JPEG,classical,54801,
IMG_4080.JPEG,classical,54328,
IMG_4081.JPEG,classical,54680,
IMG_4082.JPEG,classical,53993,
IMG_4099.JPEG,classical,57181,
IMG_4100.JPEG,classical,56520,
IMG_4101.JPEG,classical,56939,
IMG_4102.JPEG,classical,57116,
IMG_4103.JPEG,classical,57683,
IMG_4104.JPEG,classical,57983,
IMG_4105.JPEG,classical,58050,
IMG_4107.JPEG,classical,56849,
IMG_4108.JPEG,classical,50794,
IMG_4109.JPEG,classical,52505,
IMG_4110.JPEG,classical,55590,
IMG_4111.JPEG,classical,54454,
IMG_4112.JPEG,classical,53898,
IMG_4114.JPEG,classical,50995,
IMG_4115.JPEG,classical,49618,
IMG_4116.JPEG,classical,48980,
IMG_4119.JPEG,classical,49796,
IMG_4120.JPEG,classical,48684,
IMG_4122.JPEG,classical,51402,
IMG_4124.JPEG,classical,52256,
IMG_4125.JPEG,classical,53294,
IMG_4126.JPEG,classical,52743,
IMG_4127.JPEG,classical,51147,
IMG_4128.JPEG,classical,51011,
IMG_4129.JPEG,classical,50355,
IMG_4131.JPEG,classical,53463,
IMG_4132.JPEG,classical,54060,
IMG_4133.JPEG,classical,54871,
IMG_4134.JPEG,classical,55573,
IMG_4135.JPEG,classical,58213,
IMG_4136.JPEG,classical,58168,
IMG_4153.JPEG,classical,49602,
IMG_4154.JPEG,classical,49552,
IMG_4155.JPEG,classical,49405,
IMG_4156.JPEG,classical,49559,
IMG_4157.JPEG,classical,48735,
IMG_4158.JPEG,classical,48879,
IMG_4160.JPEG,classical,51007,
IMG_4161.JPEG,classical,50875,
IMG_4162.JPEG,classical,49565,
IMG_4163.JPEG,classical,49108,
IMG_4164.JPEG,classical,50086,
IMG_4165.JPEG,classical,51762,
IMG_4167.JPEG,classical,59454,
IMG_4168.JPEG,classical,59066,
IMG_4169.JPEG,classical,61330,
IMG_4170.JPEG,classical,56040,
IMG_4171.JPEG,classical,56282,
IMG_4172.JPEG,classical,56885,
IMG_4174.JPEG,classical,51510,
IMG_4175.JPEG,classical,51371,
IMG_4176.JPEG,classical,50779,
IMG_4177.JPEG,classical,50641,
IMG_4178.JPEG,classical,50828,
IMG_4179.JPEG,classical,50367,
IMG_4180.JPEG,classical,50580,
IMG_4182.JPEG,classical,53959,
IMG_4183.JPEG,classical,53799,
IMG_4184.JPEG,classical,53534,
IMG_4185.JPEG,classical,56701,
IMG_4186.JPEG,classical,55250,
IMG_4187.JPEG,classical,55068,
IMG_4197.JPEG,classical,64533,
IMG_4199.JPEG,classical,64038,
IMG_4200.JPEG,classical,62671,
IMG_4201.JPEG,classical,63925,
IMG_4202.JPEG,classical,65551,
IMG_4203.JPEG,classical,63271,
IMG_4204.JPEG,classical,63199,
IMG_4208.JPEG,classical,67702,
IMG_4209.JPEG,classical,65942,
IMG_4210.JPEG,classical,63476,
IMG_4211.JPEG,classical,63256,
IMG_4212.JPEG,classical,64171,
IMG_4213.JPEG,classical,64884,
IMG_4214.JPEG,classical,62719,
IMG_4215.JPEG,classical,63147,
IMG_4241.JPEG,classical,60715,
IMG_4242.JPEG,classical,60697,
IMG_4243.JPEG,classical,59929,
IMG_4244.JPEG,classical,59856,
IMG_4245.JPEG,classical,61014,
IMG_4246.JPEG,classical,61366,
IMG_4247.JPEG,classical,59717,
IMG_4260.JPEG,classical,63107,
IMG_4261.JPEG,classical,60894,
IMG_4262.JPEG,classical,59869,
IMG_4263.JPEG,classical,60163,
IMG_4264.JPEG,classical,60916,
IMG_4265.JPEG,classical,59728,
IMG_4267.JPEG,classical,56836,
IMG_4268.JPEG,classical,56525,
IMG_4269.JPEG,classical,57057,
IMG_4270.JPEG,classical,55913,
IMG_4271.JPEG,classical,55216,
IMG_4273.JPEG,classical,58068,
IMG_4274.JPEG,classical,56379,
IMG_4275.JPEG,classical,54276,
IMG_4276.JPEG,classical,55349,
IMG_4277.JPEG,classical,55684,
IMG_4278.JPEG,classical,54373,
IMG_4287.JPEG,classical,65435,
IMG_4288.JPEG,classical,65143,
IMG_4289.JPEG,classical,64924,
IMG_4290.JPEG,classical,64318,
IMG_4291.JPEG,classical,66677,
IMG_4309.JPEG,classical,51554,
IMG_4310.JPEG,classical,51967,
IMG_4311.JPEG,classical,51822,
IMG_4314.JPEG,classical,52579,
IMG_4315.JPEG,classical,52514,
IMG_4316.JPEG,classical,52601,
IMG_4317.JPEG,classical,51613,
IMG_4319.JPEG,classical,51946,
IMG_4320.JPEG,classical,51655,
IMG_4321.JPEG,classical,50313,
IMG_4324.JPEG,classical,49828,
IMG_4327.JPEG,classical,59757,
IMG_4328.JPEG,classical,59506,
IMG_4330.JPEG,classical,57320,
IMG_4331.JPEG,classical,60105,
IMG_4333.JPEG,classical,59674,
IMG_4334.JPEG,classical,56296,
IMG_4338.JPEG,classical,56402,
IMG_4339.JPEG,classical,54110,
IMG_4340.JPEG,classical,54433,
IMG_4342.JPEG,classical,55936,
IMG_4343.JPEG,classical,56495,
IMG_4344.JPEG,classical,57458,
IMG_4355.JPEG,classical,53835,
IMG_4356.JPEG,classical,53186,
IMG_4359.JPEG,classical,51685,
IMG_4361.JPEG,classical,53095,
IMG_4362.JPEG,classical,53731,
IMG_4364.JPEG,classical,53164,
IMG_4388.JPEG,classical,55041,
IMG_4390.JPEG,classical,54074,
IMG_4393.JPEG,classical,53722,
IMG_4394.JPEG,classical,54213,
IMG_4396.JPEG,classical,52564,
IMG_4399.JPEG,classical,52216,
IMG_4402.JPEG,classical,51780,
IMG_4404.JPEG,classical,50747,
IMG_4406.JPEG,classical,50247,
IMG_4407.JPEG,classical,50726,
IMG_4410.JPEG,classical,54065,
IMG_4435.JPEG,classical,55164,
IMG_4437.JPEG,classical,54820,
IMG_4439.JPEG,classical,53129,
IMG_4440.JPEG,classical,58410,
IMG_4442.JPEG,classical,50493,
IMG_4443.JPEG,classical,51220,
IMG_4445.JPEG,classical,64647,
IMG_4447.JPEG,classical,61364,
IMG_4448.JPEG,classical,58206,
IMG_4450.JPEG,classical,56753,
IMG_4451.JPEG,classical,57644,
IMG_4452.JPEG,classical,59215,
IMG_4453.JPEG,classical,58145,
IMG_4454.JPEG,classical,60748,
IMG_4455.JPEG,classical,57429,
IMG_4456.JPEG,classical,58507,
IMG_4457.JPEG,classical,56562,
IMG_4459.JPEG,classical,57342,
IMG_4460.JPEG,classical,53370,
IMG_4461.JPEG,classical,53510,
IMG_4463.JPEG,classical,56636,
IMG_4464.JPEG,classical,57017,
IMG_4465.JPEG,classical,59089,
IMG_4468.JPEG,classical,54677,
IMG_4470.JPEG,classical,55194,
IMG_4472.JPEG,classical,55473,
IMG_4474.JPEG,classical,55127,
IMG_4475.JPEG,classical,58149,
IMG_5105.JPEG,classical,62763,
IMG_5107.JPEG,classical,59445,
IMG_5108.JPEG,classical,58252,
IMG_5110.JPEG,classical,63168,
IMG_5112.JPEG,classical,61641,
IMG_5113.JPEG,classical,61880,
IMG_5115.JPEG,classical,65510,
IMG_5116.JPEG,classical,64051,
IMG_5117.JPEG,classical,65287,
IMG_5119.JPEG,classical,61490,
IMG_5120.JPEG,classical,61937,
IMG_5121.JPEG,classical,64487,
IMG_5123.JPEG,classical,65215,
IMG_5124.JPEG,classical,62060,
IMG_5127.JPEG,classical,65257,
IMG_5129.JPEG,classical,61587,
IMG_5130.JPEG,classical,64723,
IMG_5131.JPEG,classical,65213,
IMG_5133.JPEG,classical,60925,
IMG_5134.JPEG,classical,63853,
IMG_5135.JPEG,classical,60845,
IMG_5149.JPEG,classical,61072,
IMG_5150.JPEG,classical,60982,
IMG_5151.JPEG,classical,60352,
IMG_5153.JPEG,classical,59009,
IMG_5154.JPEG,classical,59503,
IMG_5156.JPEG,classical,63926,
IMG_5157.JPEG,classical,57542,
IMG_5158.JPEG,classical,59627,
IMG_5159.JPEG,classical,63916,
IMG_5160.JPEG,classical,57451,
IMG_5161.JPEG,classical,60096,
IMG_5162.JPEG,classical,62335,
IMG_5163.JPEG,classical,60987,
IMG_5173.JPEG,classical,63067,
IMG_5174.JPEG,classical,64572,
IMG_5176.JPEG,classical,62574,
IMG_5178.JPEG,classical,61857,
IMG_5179.JPEG,classical,62909,
IMG_5181.JPEG,classical,63162,
IMG_5182.JPEG,classical,49149,
IMG_5183.JPEG,classical,47657,
IMG_5186.JPEG,classical,48056,
IMG_5189.JPEG,classical,48375,
IMG_5190.JPEG,classical,49535,
IMG_5191.JPEG,classical,50059,
IMG_5192.JPEG,classical,48492,
IMG_5206.JPEG,classical,55860,
IMG_5208.JPEG,classical,56394,
IMG_5209.JPEG,classical,56630,
IMG_5210.JPEG,classical,56796,
IMG_5211.JPEG,classical,56791,
IMG_5212.JPEG,classical,56018,
IMG_5214.JPEG,classical,55469,
IMG_5215.JPEG,classical,56531,
IMG_5217.JPEG,classical,56765,
IMG_5218.JPEG,classical,55416,
IMG_5220.JPEG,classical,58244,
IMG_5222.JPEG,classical,60138,
IMG_5224.JPEG,classical,56045,
IMG_5226.JPEG,classical,56680,
IMG_5228.JPEG,classical,56462,
IMG_5230.JPEG,classical,56040,
IMG_5273.JPEG,classical,58266,
IMG_5275.JPEG,classical,57659,
IMG_5277.JPEG,classical,58285,
IMG_5279.JPEG,classical,57983,
IMG_5280.JPEG,classical,58062,
IMG_5293.JPEG,classical,62547,
IMG_5294.JPEG,classical,61768,
IMG_5296.JPEG,classical,61617,
IMG_5297.JPEG,classical,61625,
IMG_5298.JPEG,classical,63143,
IMG_5300.JPEG,classical,61685,
IMG_5302.JPEG,classical,61879,
IMG_5303.JPEG,classical,62857,
IMG_5304.JPEG,classical,60777,
IMG_5305.JPEG,classical,59739,
IMG_5306.JPEG,classical,61952,
IMG_5307.JPEG,classical,61323,
IMG_5308.JPEG,classical,59433,
IMG_5310.JPEG,classical,58705,
IMG_5311.JPEG,classical,61881,
